ticker,quarter,date_parsed,format,prep_pos_mean,prep_neu_mean,prep_neg_mean,prep_pos_share,prep_neg_share,prep_n_chunks,qa_pos_mean,qa_neu_mean,qa_neg_mean,qa_pos_share,qa_neg_share,qa_n_chunks,call_seconds,prep_pos_mean_zscore,prep_neu_mean_zscore,prep_neg_mean_zscore,prep_pos_share_zscore,prep_neg_share_zscore,prep_n_chunks_zscore,qa_pos_mean_zscore,qa_neu_mean_zscore,qa_neg_mean_zscore,qa_pos_share_zscore,qa_neg_share_zscore,qa_n_chunks_zscore
AAPL,2019-Q3,2019-07-30,standard,0.6267275009304285,0.29308510494108,0.0801873855913678,0.5833333333333334,0.0833333333333333,12,0.2117021707817912,0.7508390868703524,0.0374587535237272,0.0833333333333333,0.0,12,12.4,0.3561969305866523,-0.5090029747876652,-0.12215492825857316,-0.15850227037222533,0.012572090420001392,1.8027756377319946,-0.17614621270195127,0.7306297029818544,-0.6492588099429243,-0.46646927047673475,-0.49884659592632397,-1.2366938848016844
AAPL,2020-Q1,2020-01-28,standard,0.7569074481725693,0.2274542504714595,0.0156383084961109,0.8888888888888888,0.0,9,0.2946380089436258,0.6147527939506939,0.0906091965734958,0.2142857142857142,0.1428571428571428,14,11.2,1.6751819804777774,-1.9765560693225177,-0.7584345660022378,1.7787477008438684,-0.6187654937148589,-0.9013878188659973,1.463405123333224,-2.116137394982882,0.6771399173950869,1.4713340881225592,1.6351082866473952,0.0
AAPL,2020-Q2,2020-04-30,standard,0.4771597211559613,0.3623507128407557,0.160489555215463,0.5,0.0833333333333333,12,0.2077552269805561,0.6657725464213978,0.1264722341332923,0.0909090909090909,0.1818181818181818,11,11.0,-1.1592259102367874,1.0398258198314807,0.6694076733731712,-0.6868431716129786,0.012572090420001392,1.8027756377319946,-0.2541729997459714,-1.048863464862298,1.5721218714165688,-0.3543649439461967,2.217095981894774,-1.8550408272025265
AAPL,2020-Q3,2020-07-30,standard,0.6426307916641235,0.3398929689079523,0.0174762208946049,0.6,0.0,10,0.211352868626515,0.748997430006663,0.0396497119994213,0.0,0.0,12,9.7,0.5173292951804024,0.5376545183727636,-0.7403177115444645,-0.05283409012407511,-0.6187654937148589,0.0,-0.18305153648062397,0.6921043816374985,-0.594582228393267,-1.699616862312649,-0.49884659592632397,-1.2366938848016844
AAPL,2020-Q4,2020-10-29,standard,0.5926163230429996,0.3872099701653827,0.0201736994257027,0.6363636363636364,0.0,11,0.2750311637563364,0.6982491995607104,0.0267196521828217,0.1428571428571428,0.0,14,11.2,0.010581998173075669,1.5956966874198597,-0.7137278555802135,0.1777146667809808,-0.6187654937148589,0.9013878188659973,1.0757991144625219,-0.3694896232690806,-0.9172590284546117,0.41435043797748966,-0.49884659592632397,0.0
AAPL,2021-Q1,2021-01-27,standard,0.6615284714433882,0.3206921141180727,0.0177794283048974,0.5555555555555556,0.0,9,0.2697218272369355,0.6867785318754613,0.0434996205731295,0.125,0.0,16,13.4,0.7088008515493484,0.10830959985360206,-0.737328905044607,-0.33461590411914305,-0.6187654937148589,-0.9013878188659973,0.9708393048461051,-0.6094426608415904,-0.4985056288482237,0.15010452544122313,-0.49884659592632397,1.2366938848016844
AAPL,2021-Q2,2021-04-28,standard,0.5746306583285332,0.3765870660543441,0.0487822611816227,0.6,0.0,10,0.2810125425457954,0.6771601249774297,0.0418273366366823,0.2,0.0,15,14.2,-0.17164900877771022,1.3581609136273984,-0.43172467087842,-0.05283409012407511,-0.6187654937148589,0.0,1.1940444689792717,-0.8106485553126718,-0.5402384001625546,1.2599373580935467,-0.49884659592632397,0.6183469424008422
AAPL,2021-Q3,2021-07-27,standard,0.6291148132748074,0.3198462848862012,0.0510388971823785,0.6666666666666666,0.0,9,0.2498067764099687,0.7097882870584726,0.0404049458447843,0.125,0.0,16,13.1,0.3803852127173816,0.08939625007761191,-0.40948033212573287,0.3698386308685272,-0.6187654937148589,-0.9013878188659973,0.5771404056217707,-0.12810532273148764,-0.5757349497281753,0.15010452544122313,-0.49884659592632397,1.2366938848016844
AAPL,2021-Q4,2021-10-28,standard,0.5849629014730453,0.3482885010540485,0.0667485899291932,0.4,0.1,10,0.138508420670405,0.8101829560473561,0.0513086149585433,0.0625,0.0,16,11.6,-0.06696257643415844,0.7253846535483388,-0.2546251729225035,-1.320852253101882,0.13883960724697378,0.0,-1.623107061525589,1.972034480895485,-0.3036278513496664,-0.774756168435713,-0.49884659592632397,1.2366938848016844
AAPL,2022-Q1,2022-01-27,standard,0.6803161890970336,0.2810121588408947,0.0386716477158996,0.7777777777777778,0.0,9,0.2153866829971472,0.7573761343955994,0.027237199122707,0.1333333333333333,0.0,15,12.6,0.8991582701204325,-0.7789627300378522,-0.5313880241412853,1.074293165856198,-0.6187654937148589,-0.9013878188659973,-0.10330741274267444,0.8673771403133378,-0.9043433580855285,0.2734192846248142,-0.49884659592632397,0.6183469424008422
AAPL,2022-Q2,2022-04-28,standard,0.5516934295495352,0.2782966304156515,0.1700099582473437,0.5555555555555556,0.2222222222222222,9,0.2136724355320135,0.7112758899728457,0.0750516892721255,0.2,0.0,15,11.3,-0.40404933222504824,-0.8396838980916322,0.7632531451428033,-0.33461590411914305,1.0648013973114356,-0.9013878188659973,-0.13719622105580034,-0.09698639855024065,0.28889371094734545,1.2599373580935467,-0.49884659592632397,0.6183469424008422
