ticker,quarter,date_parsed,word_count,sentence_count,avg_sentence_length,flesch_kincaid_grade,numeric_density,negative_count,uncertainty_count,litigious_count,forward_looking_count,word_count_zscore,sentence_count_zscore,avg_sentence_length_zscore,flesch_kincaid_grade_zscore,numeric_density_zscore,negative_count_zscore,uncertainty_count_zscore,litigious_count_zscore,forward_looking_count_zscore,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d
AAPL,2019-Q3,2019-07-30,8355,440,18.988636363636363,10.239787082498516,26.21184919210054,18,30,3,67,-0.5945752477039877,-1.6476693323244531,1.7220395013088332,1.7649000145955054,2.1250019184711024,-1.93239852732248,-2.063307982805864,-0.402182983321936,1.3478309598585034,0.0313446781624467,0.0041366896096414,-0.0134595180344728,0,0,1
AAPL,2020-Q1,2020-01-28,8267,459,18.010893246187365,10.00980806631596,24.43449860892706,27,38,3,67,-0.8360908115586906,-1.0617334467652226,0.6520874888716999,1.1836400020031412,1.5291995386550756,-1.268959250912037,-1.5064634187715105,-0.402182983321936,1.3478309598585034,0.0217582428406462,-0.0099630427253149,-0.002986724808626,0,1,0
AAPL,2020-Q2,2020-04-30,8278,442,18.72850678733032,10.225605885955115,16.79149553032133,51,55,1,70,-0.8059013660768527,-1.5859918706866394,1.4373776523057482,1.7290577772548223,-1.0328832976100102,0.5002121528491431,-0.323168720198509,-1.653418931434626,1.6099092020532122,0.0103742639542214,0.0275661786033012,0.0434720340341957,0,0,0
AAPL,2020-Q3,2020-07-30,8109,468,17.326923076923077,9.551079628470053,21.211000123319767,36,66,6,56,-1.2697210284796343,-0.7841848693950608,-0.0963864671103687,0.0242277130701057,0.4486203399080348,-0.6055199745015944,0.4424925553487272,1.474670938847099,0.3868774051445705,0.096786564531335,0.1212579395899765,0.1521309722515822,0,0,0
AAPL,2020-Q4,2020-10-29,8970,494,18.157894736842103,9.559400092994975,19.175027870680047,40,49,5,55,1.0932892042351288,0.0176221318965177,0.8129523806314756,0.0452572547857417,-0.2338770384067433,-0.3106580738747311,-0.7408021432242743,0.849052964790754,0.2995179910796675,-0.0455933098280656,-0.0606512384871264,-0.0292265598921155,1,1,1
AAPL,2021-Q1,2021-01-27,9062,500,18.124,9.434865431988374,18.09755020966674,38,74,2,31,1.3457827482650455,0.2026545168099589,0.7758611025155429,-0.2694976294921477,-0.5950684435847254,-0.4580890241881628,0.9993371193830808,-1.0278009573782811,-1.797107946478004,-0.0435855855509266,-0.0606123587320416,-0.0770303801583354,1,1,1
AAPL,2021-Q2,2021-04-28,8835,518,17.055984555984555,9.272368888857525,19.015280135823428,42,60,2,50,0.7227823733216642,0.7577516715502826,-0.3928766295584141,-0.6801991981582062,-0.2874275767748417,-0.1632271235612994,0.024859132322962,-1.0278009573782811,-0.1372790792448473,-0.0071215227816156,-0.009702467398292,-0.0370710334880641,1,1,1
AAPL,2021-Q3,2021-07-27,8962,520,17.234615384615385,9.42221228545619,17.629993305065835,39,73,3,44,1.0713332438847012,0.8194291331880963,-0.1973995035464903,-0.301477799834263,-0.7518025843321526,-0.3843735490314469,0.9297315488787868,-0.402182983321936,-0.6614355636342653,-0.0117858271972864,-0.0050615406378143,-0.0008550729510478,1,0,0
AAPL,2021-Q4,2021-10-28,9226,541,17.053604436229204,9.183584627717584,16.583568176891394,44,62,6,54,1.7958799354488095,1.4670424803851403,-0.3954812133970848,-0.9045968045347852,-1.1025845783675798,-0.0157961732478677,0.1640702733315504,1.474670938847099,0.2121585770147645,-0.0201846468822052,-0.0245247942204094,-0.0292951228002726,1,1,1
AAPL,2022-Q1,2022-01-27,8468,513,16.50682261208577,8.930139315990548,17.83183750590458,42,66,4,42,-0.2844473077541988,0.6035580174557482,-0.9938288802491918,-1.545166659694922,-0.6841404942806419,-0.1632271235612994,0.4424925553487272,0.2234349907344089,-0.8361543917640712,0.0449419328255297,0.0463152098618922,0.0503003116444156,0,0,0
AAPL,2022-Q2,2022-04-28,8564,507,16.891518737672584,9.347075978232231,20.551144325081736,55,73,4,46,-0.0209757835490684,0.418525632542307,-0.5728528729495546,-0.4913809119011166,0.2274238811746879,0.7950740534760065,0.9297315488787868,0.2234349907344089,-0.4867167355044593,0.0003507862232268,0.00129579922303,-0.0092575259647436,0,0,1
AAPL,2022-Q3,2022-07-28,8247,468,17.621794871794872,9.835649514324356,16.975870013338184,70,78,5,53,-0.8909807124347594,-0.7841848693950608,0.2262940659494658,0.7434633119552573,-0.9710773957250536,1.900806180826744,1.2777594014002578,0.849052964790754,0.1247991629498615,0.0182140791711036,0.0120043692571425,0.0338183075945058,0,0,0
AAPL,2022-Q4,2022-10-27,8286,509,16.278978388998034,9.327036998777404,22.93024378469708,56,65,5,36,-0.7839454057264252,0.4802030941801207,-1.2431606123415069,-0.5420283911520293,1.0249441527954564,0.8687895286327223,0.372886984844433,0.849052964790754,-1.360310876153489,0.0517616154084241,0.0284528293110101,-0.0172774733887119,0,0,1
AAPL,2023-Q1,2023-02-02,8374,529,15.829867674858225,9.242299237699555,20.77860042990208,61,46,2,51,-0.5424298418717224,1.096977710558258,-1.7346260124301294,-0.7561986788971576,0.3036715780773847,1.2373669044163016,-0.9496188547371568,-1.0278009573782811,-0.0499196651799443,0.0350286635126109,0.0292095755948582,0.0235811239170901,0,0,0
ABNB,2021-Q2,2021-08-12,10453,594,17.597643097643097,8.641235024148145,9.279632641346982,23,87,0,48,-0.9671439737580202,-1.985751856818087,1.333033986567103,1.1556666615954472,-1.5159173901080287,-1.1774246154376091,-0.3067484771701002,-0.8475793795260129,0.3009646327144225,0.0088318967684072,-0.0455615688949981,-0.0444405924333165,0,1,1
ABNB,2021-Q3,2021-11-04,10402,676,15.387573964497042,7.830673419107583,12.882138050374929,22,92,3,40,-1.0713136520297393,0.3348892680144529,-1.293658653795071,-1.6269173309141622,0.1922268380381282,-1.301364048641568,0.0933582321822049,0.6780635036208102,-1.1436656043148077,0.1263706827424729,0.0899433118453012,0.0804714275649989,0,0,0
ABNB,2021-Q4,2022-02-15,11284,689,16.37735849056604,8.281164025890149,11.875221552640909,34,79,0,42,0.7302090192576394,0.7027957878049776,-0.1172883352481256,-0.0804242039094846,-0.2852071720591954,0.1859091498059383,-0.9469192121337884,-0.8475793795260129,-0.7825080450575002,0.0353649938371556,-0.0021026107237159,-0.1126327031446862,0,0,1
ABNB,2022-Q1,2022-05-03,11304,686,16.47813411078717,8.176850211310288,13.446567586694975,41,77,1,54,0.7710598734818429,0.6178942832379335,0.0024846510321578,-0.4385240063705338,0.4598536547097087,1.0534851822336504,-1.1069618958747105,-0.3390317518104052,1.3844373104863452,0.0466505293277058,-0.0510681724377584,-0.1575787929541499,0,1,1
ABNB,2022-Q2,2022-08-02,10614,673,15.771173848439824,8.330746245760917,15.639721123045035,37,109,1,43,-0.6382945972531813,0.2499877634474088,-0.837745769946972,0.0897870304587981,1.4997473201478184,0.5577274494178149,1.4537210439800423,-0.3390317518104052,-0.6019292654288464,-0.0270054487080402,-0.0066392683524596,-0.0243938236732267,1,1,1
ABNB,2022-Q3,2022-11-01,11502,667,17.244377811094452,8.566879766216953,11.737089201877934,38,101,5,51,1.1754833303014585,0.0801847543133205,0.913174121390914,0.9004118491399477,-0.3507032507284287,0.6816668826217738,0.8135503090163542,1.6951587590520256,0.8427009716003839,-0.1091543033052885,-0.0975974940801036,-0.0865230217724987,1,1,1
