ticker,quarter,date_parsed,word_count,sentence_count,avg_sentence_length,flesch_kincaid_grade,numeric_density,negative_count,uncertainty_count,litigious_count,forward_looking_count,word_count_zscore,sentence_count_zscore,avg_sentence_length_zscore,flesch_kincaid_grade_zscore,numeric_density_zscore,negative_count_zscore,uncertainty_count_zscore,litigious_count_zscore,forward_looking_count_zscore,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d,prep_pos_mean,prep_neu_mean,prep_neg_mean,prep_pos_share,prep_neg_share,prep_n_chunks,qa_pos_mean,qa_neu_mean,qa_neg_mean,qa_pos_share,qa_neg_share,qa_n_chunks,call_seconds,prep_pos_mean_zscore,prep_neu_mean_zscore,prep_neg_mean_zscore,prep_pos_share_zscore,prep_neg_share_zscore,prep_n_chunks_zscore,qa_pos_mean_zscore,qa_neu_mean_zscore,qa_neg_mean_zscore,qa_pos_share_zscore,qa_neg_share_zscore,qa_n_chunks_zscore
AAPL,2019-Q3,2019-07-30,8355,440,18.988636363636363,10.239787082498516,26.21184919210054,18,30,3,67,-0.5945752477039877,-1.6476693323244531,1.7220395013088332,1.7649000145955054,2.1250019184711024,-1.93239852732248,-2.063307982805864,-0.402182983321936,1.3478309598585034,0.0313446781624467,0.0041366896096414,-0.0134595180344728,0,0,1,0.6267275009304285,0.29308510494108,0.0801873855913678,0.5833333333333334,0.0833333333333333,12,0.2117021707817912,0.7508390868703524,0.0374587535237272,0.0833333333333333,0.0,12,12.4,0.3561969305866523,-0.5090029747876652,-0.1221549282585731,-0.1585022703722253,0.0125720904200013,1.8027756377319943,-0.1761462127019512,0.7306297029818544,-0.6492588099429243,-0.4664692704767347,-0.4988465959263239,-1.2366938848016844
AAPL,2020-Q1,2020-01-28,8267,459,18.010893246187365,10.00980806631596,24.43449860892706,27,38,3,67,-0.8360908115586906,-1.0617334467652226,0.6520874888716999,1.1836400020031412,1.5291995386550756,-1.268959250912037,-1.5064634187715105,-0.402182983321936,1.3478309598585034,0.0217582428406462,-0.0099630427253149,-0.002986724808626,0,1,0,0.7569074481725693,0.2274542504714595,0.0156383084961109,0.8888888888888888,0.0,9,0.2946380089436258,0.6147527939506939,0.0906091965734958,0.2142857142857142,0.1428571428571428,14,11.2,1.6751819804777774,-1.9765560693225177,-0.7584345660022378,1.7787477008438684,-0.6187654937148589,-0.9013878188659972,1.463405123333224,-2.116137394982882,0.6771399173950869,1.4713340881225592,1.6351082866473952,0.0
AAPL,2020-Q2,2020-04-30,8278,442,18.72850678733032,10.225605885955115,16.79149553032133,51,55,1,70,-0.8059013660768527,-1.5859918706866394,1.4373776523057482,1.7290577772548223,-1.0328832976100102,0.5002121528491431,-0.323168720198509,-1.653418931434626,1.6099092020532122,0.0103742639542214,0.0275661786033012,0.0434720340341957,0,0,0,0.4771597211559613,0.3623507128407557,0.160489555215463,0.5,0.0833333333333333,12,0.2077552269805561,0.6657725464213978,0.1264722341332923,0.0909090909090909,0.1818181818181818,11,11.0,-1.1592259102367874,1.0398258198314807,0.6694076733731712,-0.6868431716129786,0.0125720904200013,1.8027756377319943,-0.2541729997459714,-1.048863464862298,1.5721218714165688,-0.3543649439461967,2.217095981894774,-1.8550408272025265
AAPL,2020-Q3,2020-07-30,8109,468,17.326923076923077,9.551079628470053,21.211000123319767,36,66,6,56,-1.2697210284796343,-0.7841848693950608,-0.0963864671103687,0.0242277130701057,0.4486203399080348,-0.6055199745015944,0.4424925553487272,1.474670938847099,0.3868774051445705,0.096786564531335,0.1212579395899765,0.1521309722515822,0,0,0,0.6426307916641235,0.3398929689079523,0.0174762208946049,0.6,0.0,10,0.211352868626515,0.748997430006663,0.0396497119994213,0.0,0.0,12,9.7,0.5173292951804024,0.5376545183727636,-0.7403177115444645,-0.0528340901240751,-0.6187654937148589,0.0,-0.1830515364806239,0.6921043816374985,-0.594582228393267,-1.699616862312649,-0.4988465959263239,-1.2366938848016844
AAPL,2020-Q4,2020-10-29,8970,494,18.157894736842103,9.559400092994975,19.175027870680047,40,49,5,55,1.0932892042351288,0.0176221318965177,0.8129523806314756,0.0452572547857417,-0.2338770384067433,-0.3106580738747311,-0.7408021432242743,0.849052964790754,0.2995179910796675,-0.0455933098280656,-0.0606512384871264,-0.0292265598921155,1,1,1,0.5926163230429996,0.3872099701653827,0.0201736994257027,0.6363636363636364,0.0,11,0.2750311637563364,0.6982491995607104,0.0267196521828217,0.1428571428571428,0.0,14,11.2,0.0105819981730756,1.5956966874198597,-0.7137278555802135,0.1777146667809808,-0.6187654937148589,0.9013878188659972,1.075799114462522,-0.3694896232690806,-0.9172590284546116,0.4143504379774896,-0.4988465959263239,0.0
AAPL,2021-Q1,2021-01-27,9062,500,18.124,9.434865431988374,18.09755020966674,38,74,2,31,1.3457827482650455,0.2026545168099589,0.7758611025155429,-0.2694976294921477,-0.5950684435847254,-0.4580890241881628,0.9993371193830808,-1.0278009573782811,-1.797107946478004,-0.0435855855509266,-0.0606123587320416,-0.0770303801583354,1,1,1,0.6615284714433882,0.3206921141180727,0.0177794283048974,0.5555555555555556,0.0,9,0.2697218272369355,0.6867785318754613,0.0434996205731295,0.125,0.0,16,13.4,0.7088008515493484,0.108309599853602,-0.737328905044607,-0.334615904119143,-0.6187654937148589,-0.9013878188659972,0.9708393048461053,-0.6094426608415904,-0.4985056288482237,0.1501045254412231,-0.4988465959263239,1.2366938848016844
AAPL,2021-Q2,2021-04-28,8835,518,17.055984555984555,9.272368888857525,19.015280135823428,42,60,2,50,0.7227823733216642,0.7577516715502826,-0.3928766295584141,-0.6801991981582062,-0.2874275767748417,-0.1632271235612994,0.024859132322962,-1.0278009573782811,-0.1372790792448473,-0.0071215227816156,-0.009702467398292,-0.0370710334880641,1,1,1,0.5746306583285332,0.3765870660543441,0.0487822611816227,0.6,0.0,10,0.2810125425457954,0.6771601249774297,0.0418273366366823,0.2,0.0,15,14.2,-0.1716490087777102,1.3581609136273984,-0.43172467087842,-0.0528340901240751,-0.6187654937148589,0.0,1.1940444689792715,-0.8106485553126718,-0.5402384001625546,1.259937358093547,-0.4988465959263239,0.6183469424008422
AAPL,2021-Q3,2021-07-27,8962,520,17.234615384615385,9.42221228545619,17.629993305065835,39,73,3,44,1.0713332438847012,0.8194291331880963,-0.1973995035464903,-0.301477799834263,-0.7518025843321526,-0.3843735490314469,0.9297315488787868,-0.402182983321936,-0.6614355636342653,-0.0117858271972864,-0.0050615406378143,-0.0008550729510478,1,0,0,0.6291148132748074,0.3198462848862012,0.0510388971823785,0.6666666666666666,0.0,9,0.2498067764099687,0.7097882870584726,0.0404049458447843,0.125,0.0,16,13.1,0.3803852127173816,0.0893962500776119,-0.4094803321257328,0.3698386308685272,-0.6187654937148589,-0.9013878188659972,0.5771404056217707,-0.1281053227314876,-0.5757349497281753,0.1501045254412231,-0.4988465959263239,1.2366938848016844
AAPL,2021-Q4,2021-10-28,9226,541,17.053604436229204,9.183584627717584,16.583568176891394,44,62,6,54,1.7958799354488095,1.4670424803851403,-0.3954812133970848,-0.9045968045347852,-1.1025845783675798,-0.0157961732478677,0.1640702733315504,1.474670938847099,0.2121585770147645,-0.0201846468822052,-0.0245247942204094,-0.0292951228002726,1,1,1,0.5849629014730453,0.3482885010540485,0.0667485899291932,0.4,0.1,10,0.138508420670405,0.8101829560473561,0.0513086149585433,0.0625,0.0,16,11.6,-0.0669625764341584,0.7253846535483388,-0.2546251729225035,-1.320852253101882,0.1388396072469737,0.0,-1.623107061525589,1.972034480895485,-0.3036278513496664,-0.774756168435713,-0.4988465959263239,1.2366938848016844
AAPL,2022-Q1,2022-01-27,8468,513,16.50682261208577,8.930139315990548,17.83183750590458,42,66,4,42,-0.2844473077541988,0.6035580174557482,-0.9938288802491918,-1.545166659694922,-0.6841404942806419,-0.1632271235612994,0.4424925553487272,0.2234349907344089,-0.8361543917640712,0.0449419328255297,0.0463152098618922,0.0503003116444156,0,0,0,0.6803161890970336,0.2810121588408947,0.0386716477158996,0.7777777777777778,0.0,9,0.2153866829971472,0.7573761343955994,0.027237199122707,0.1333333333333333,0.0,15,12.6,0.8991582701204325,-0.7789627300378522,-0.5313880241412853,1.074293165856198,-0.6187654937148589,-0.9013878188659972,-0.1033074127426744,0.8673771403133378,-0.9043433580855283,0.2734192846248142,-0.4988465959263239,0.6183469424008422
AAPL,2022-Q2,2022-04-28,8564,507,16.891518737672584,9.347075978232231,20.551144325081736,55,73,4,46,-0.0209757835490684,0.418525632542307,-0.5728528729495546,-0.4913809119011166,0.2274238811746879,0.7950740534760065,0.9297315488787868,0.2234349907344089,-0.4867167355044593,0.0003507862232268,0.00129579922303,-0.0092575259647436,0,0,1,0.5516934295495352,0.2782966304156515,0.1700099582473437,0.5555555555555556,0.2222222222222222,9,0.2136724355320135,0.7112758899728457,0.0750516892721255,0.2,0.0,15,11.3,-0.4040493322250482,-0.8396838980916322,0.7632531451428033,-0.334615904119143,1.0648013973114356,-0.9013878188659972,-0.1371962210558003,-0.0969863985502406,0.2888937109473454,1.259937358093547,-0.4988465959263239,0.6183469424008422
AAPL,2022-Q3,2022-07-28,8247,468,17.621794871794872,9.835649514324356,16.975870013338184,70,78,5,53,-0.8909807124347594,-0.7841848693950608,0.2262940659494658,0.7434633119552573,-0.9710773957250536,1.900806180826744,1.2777594014002578,0.849052964790754,0.1247991629498615,0.0182140791711036,0.0120043692571425,0.0338183075945058,0,0,0,0.6232172321114275,0.3110894954038991,0.0656932554104262,0.8888888888888888,0.0,9,0.1215687601694038,0.7124230095318386,0.1660082060178475,0.0,0.1428571428571428,14,10.5,0.3206308377171472,-0.1064118588796057,-0.265027922202846,1.7787477008438684,-0.6187654937148589,-0.9013878188659972,-1.9579857294448044,-0.0729899904777501,2.558763934637784,-1.699616862312649,1.6351082866473952,0.0
AAPL,2022-Q4,2022-10-27,8286,509,16.278978388998034,9.327036998777404,22.93024378469708,56,65,5,36,-0.7839454057264252,0.4802030941801207,-1.2431606123415069,-0.5420283911520293,1.0249441527954564,0.8687895286327223,0.372886984844433,0.849052964790754,-1.360310876153489,0.0517616154084241,0.0284528293110101,-0.0172774733887119,0,0,1,0.5389086931943894,0.3087812656536698,0.1523100389167666,0.5,0.2,10,0.203566106609427,0.7299698041035578,0.0664640847020424,0.1538461538461538,0.0,13,13.4,-0.5335844601497131,-0.1580255357122662,0.5887797248159428,-0.6868431716129786,0.8964447082088064,0.0,-0.3369873542340112,0.2940685603125684,0.0745852852965099,0.5769633072305775,-0.4988465959263239,-0.6183469424008422
AAPL,2023-Q1,2023-02-02,8374,529,15.829867674858225,9.242299237699555,20.77860042990208,61,46,2,51,-0.5424298418717224,1.096977710558258,-1.7346260124301294,-0.7561986788971576,0.3036715780773847,1.2373669044163016,-0.9496188547371568,-1.0278009573782811,-0.0499196651799443,0.0350286635126109,0.0292095755948582,0.0235811239170901,0,0,0,0.3415925795720382,0.267290657047521,0.3911167858168483,0.3636363636363636,0.4545454545454545,11,0.1948510832511461,0.7492051262121934,0.0559437911097819,0.0769230769230769,0.0,13,10.9,-2.5327940886987985,-1.085785375899522,2.942769545368965,-1.5514010100069382,2.824894056111652,0.9013878188659972,-0.509273889311468,0.6964491448872782,-0.1879544647283456,-0.5613267775410358,-0.4988465959263239,-0.6183469424008422
