ticker,quarter,date_parsed,excess_return_1d,excess_return_3d,excess_return_5d,y_1d,y_3d,y_5d
AAPL,2019-Q3,2019-07-30,0.03134467816244671,0.0041366896096414404,-0.013459518034472859,0,0,1
AAPL,2020-Q1,2020-01-28,0.021758242840646248,-0.009963042725314938,-0.0029867248086260434,0,1,0
AAPL,2020-Q2,2020-04-30,0.01037426395422146,0.02756617860330128,0.0434720340341957,0,0,0
AAPL,2020-Q3,2020-07-30,0.09678656453133501,0.12125793958997658,0.1521309722515822,0,0,0
AAPL,2020-Q4,2020-10-29,-0.04559330982806564,-0.060651238487126495,-0.0292265598921155,1,1,1
AAPL,2021-Q1,2021-01-27,-0.043585585550926675,-0.06061235873204164,-0.07703038015833541,1,1,1
AAPL,2021-Q2,2021-04-28,-0.007121522781615683,-0.00970246739829202,-0.0370710334880641,1,1,1
AAPL,2021-Q3,2021-07-27,-0.011785827197286446,-0.005061540637814355,-0.0008550729510478586,1,0,0
AAPL,2021-Q4,2021-10-28,-0.02018464688220526,-0.024524794220409464,-0.02929512280027267,1,1,1
AAPL,2022-Q1,2022-01-27,0.04494193282552973,0.04631520986189228,0.05030031164441569,0,0,0
AAPL,2022-Q2,2022-04-28,0.00035078622322683856,0.0012957992230300149,-0.009257525964743663,0,0,1
AAPL,2022-Q3,2022-07-28,0.01821407917110366,0.01200436925714254,0.03381830759450581,0,0,0
AAPL,2022-Q4,2022-10-27,0.051761615408424104,0.028452829311010168,-0.01727747338871192,0,0,1
AAPL,2023-Q1,2023-02-02,0.03502866351261093,0.029209575594858282,0.0235811239170901,0,0,0
ABNB,2021-Q2,2021-08-12,0.00883189676840722,-0.04556156889499811,-0.04444059243331652,0,1,1
ABNB,2021-Q3,2021-11-04,0.1263706827424729,0.08994331184530123,0.08047142756499898,0,0,0
ABNB,2021-Q4,2022-02-15,0.03536499383715565,-0.0021026107237159634,-0.11263270314468629,0,0,1
ABNB,2022-Q1,2022-05-03,0.04665052932770587,-0.0510681724377584,-0.1575787929541499,0,1,1
ABNB,2022-Q2,2022-08-02,-0.02700544870804021,-0.006639268352459652,-0.024393823673226733,1,1,1
ABNB,2022-Q3,2022-11-01,-0.10915430330528855,-0.09759749408010364,-0.08652302177249878,1,1,1
AMZN,2020-Q2,2020-07-30,0.029058702952510833,0.009661171768705373,0.024715773791163513,0,0,0
AMZN,2020-Q4,2021-02-02,-0.0207477076143075,-0.02438434299497704,-0.044991324828294134,1,1,1
AMZN,2021-Q1,2021-04-29,0.005449999385565913,-0.03536087670667341,-0.04515842619418445,0,1,1
AMZN,2021-Q2,2021-07-29,-0.07079255126145544,-0.06604731359238919,-0.0647232975355604,1,1,1
AMZN,2021-Q3,2021-10-28,-0.023540464453138236,-0.046638295377838916,-0.009913518517657873,1,1,1
AMZN,2021-Q4,2022-02-03,0.1306567563529839,0.1528224374601036,0.13909235457641117,0,0,0
AMZN,2022-Q1,2022-04-28,-0.10353883420662607,-0.11397060266441905,-0.1622280369390582,1,1,1
AMZN,2022-Q2,2022-07-28,0.0890358208782371,0.09225335946504944,0.14598339692862536,0,0,0
AMZN,2022-Q3,2022-10-27,-0.09183321659345278,-0.13965141261304226,-0.1715988740790781,1,1,1
AMZN,2022-Q4,2023-02-02,-0.07368604880150481,-0.09183643429428762,-0.10667682311976281,1,1,1
